№,АCУУЛТ,ХАРИУЛТ
1,CRM гэж юу вэ,"(Customer Relationship Management  System) нь хэрэглэгчийг судлан, хүсэл сонирхлыг нь мэдэрч түүнд төвлөрсөн "
2,, Маркетинг
3,, Борлуулалт
4,, Үйлчилгээг хэрэгжүүлэх үйл ажиллагааг автоматжуулсан систем юм.
5,Funnel гэж юу вэ,
6,Харилцагчийн бүртгэл яаж бүртгэх вэ,"Харилцагчтай түншлэх систем- Харилцагч - Харилцагч дэлгэцийн Шинэ товчоор харилцагчийн ерөнхий мэдээлэл, үндсэн холбоо барих нэг хүний мэдээлэл, харилцах банкны тухай мэдээллүүдээр бүртгэнэ."
7,Сураг гэж юу вэ,"Борлуулалтын тухай бүх мэдээ, мэдээллүүд юм."
8,Боломж гэж юу вэ,80 хувь нь борлуулалт болох магадлалтай сураг юм
9,Захиалга гэж юу вэ,Харилцагчид нийлүүлэх борлуулалтын захиалга юм.
10,Засвар үйлчилгээний хүсэлт гэж юу вэ,Бүх төрлийн засвар хийлгэх үйлчилгээний процесс юм.
11,Хүргэлт гэж юу вэ,Харилцагчийн захиалгыг хүргэж өгөх үйлдэл юм. Нийлүүлсэн бараа бүтээгдэхүүнийг бүгдийг болон хэсэгчлэн хүргэх боломжуудтай
12,Буцаалт яаж хийх вэ,Харилцагчид нийлүүлсэн борлуулалтын захиалга хэрэглэгчийн гомдлоор буцаан авч шийдвэрлэх процесс бөгөөд Харилцагчтай түншлэх систем - Борлуулалт - Буцаалт цэснээс Шинэ товчоор бүртгэнэ. 
13,Хүргэлтийг яаж хийх вэ,Харилцагчтай түншлэх систем - Борлуулалт - Хүргэлт цэснээс Шинэ товчоор бүртгэнэ.
14,Борлуулж байгаа барааны үнэ өөрчлөх боломжтой юу,Боломжтой. Барааны жагсаалт хэсгийн барааны борлуулах үнэ талбараар өөрчлөх боломжтой
15,Сургийг хэрхэн боломж болгох вэ,Тухайн сураг дэлгэц нээгээд Үндсэн хэсгийн Үнэлэх товч дарж хөрвүүлнэ.
16,Боломжоос яаж захиалга хийх вэ,Тухайн боломж дэлгэц нээгээд Үндсэн хэсгийн Хөрвүүлэх товч дарснаар борлуулалтын Захиалга үүснэ
