1,НӨАТ-н баримт хэвлэдэг үү? ,"Хэвлэдэг. Авлага, Түрээс, Үндсэн хөрөнгийн модулиуд дээрээс хэвлэх боломжтой"
2,НӨАТ-тай баримт яаж хэвлэх вэ?,Эхлээд авлагын модуль дээрээс НӨАТУС-тай холбогдох хэсгийг шалгана. 
3,"Байгууллагын бүтэц, зохион байгуулалт ямар зорилготой вэ?",Дансны сегментчлэн үүсгэхэд ашиглагддаг
4,Журналын хуваарилалтыг ямар зорилгоор ашиглах вэ?,Дансны үлдэгдлийг бусад дансдууд руу хуваарилж хаахад ашиглагддаг. 
5,Өглөг үүсгэх - НӨАТ төлөх хэлбэр гэж юу вэ?,"Төлбөр төлөх бүрт, Төлбөр дууссаны дараа гэсэн 2 сонголттой. "
6,Дебет мемо гэж юу вэ?,Хасах дүнтэй өглөг /өглөгийг бууруулахад ашиглана/
7,Кредит мемо гэж юу вэ?,Хасах дүнтэй авлага /авлагыг бууруулахад ашиглана/
8,Бусад модулиас журнал татах ямар зорилготой вэ?,Бусад модулиуд дээр хийгдсэн гүйлгээг ерөнхий журнал руу татах 
9,Системийн тохиргоо дээр ямар тохиргоонууд хийгддэг вэ?,Байгууллагын ерөнхий мэдээлэл болон системийн байнга ашиглагддаг данснуудыг тохируулдаг. Мөн өгөгдлийн сангийн холболтыг тохируулдаг
10,Журналын код юунд ашиглагддаг вэ?,Ерөнхий дэвтрийн гүйлгээг модуль тус бүрээр ангилахад ашиглана.
11,Давтагддаг өглөг гэж юу вэ?,"Тодорхой хугацаагаар давтагддаг, үнийн дүн нь тогтмол өглөг"
12,Давтагддаг авлага гэж юу вэ?,"Тодорхой хугацаагаар давтагддаг, үнийн дүн нь тогтмол авлага"
13,Давтагддаг өглөгийн хувилах жин гэж юу вэ?,Тухайн өглөгийн дүнг хуваарилах тоо хэмжээ. Жнь: Удирдлагын цалинг хэлтэс газруудад хуваарилахад хувилах жин нь нийт ажилчдын тоо  байх
15,НӨАТ-ын тулгалт гэж юу вэ?,GreenFinance систем дээр бүртгэлтэй байгаа баримтууд болон НӨАТУС-д бүртгэгдсэн баримтуудыг хооронд нь тулгах үйлдэл
16,НӨАТ тулгалт нь ямар дарааллаар хийгддэг вэ?,1. НӨАТУС-д бүртгэгдсэн баримтуудыг GreenFinance систем рүү импортлож оруулна. "2. GreenFinance-д бүртгэлтэй байгаа баримтуудыг импортолсон баримтуудтай автоматаар тулгаж, шалгана. ""3. Тулаагүй үлдсэн баримтуудыг гараар тулгаж, төлөвийг өөрчлөнө."4. НӨАТ тайлан гарна
17,Журналын зөрүү гэж юу вэ?,Үүссэн байгаа журналуудын зөрүүтэй дүнг харуулна
