,АСУУЛТ,ХАРИУЛТ
1,Шинэ байгууллагын нэгж яаж бүртгэх вэ?,Та байгууллагын нэгжийн бүртгэлийн дэлгэц рүү ороод бүртгэх боломжтой.
2,Шинэ ажлын байр яаж бүртгэх вэ?,"Та ажлын байрны жагсаалтын дэлгэц рүү ороод, шинэ товчийг дарснаар бүртгэх боломжтой."
3,Ажилтан яаж бүртгэх вэ?,"Хүний нөөц=>Ажилтан цэснээс ажилтны жагсаалт дэлгэц рүү орж, тухайн дэлгэцээс шинэ товч дараад бүртгэх боломжтой. Мөн ажил горилогч болон гэрээт ажилтны бүртгэлээс ажилтан болгох боломжтой бөгөөд сонгон шалгаруулалтын дэлгэцээс шалгаруулалтад тэнцсэн ажилтны мөн ажилтан болгох боломжтой."
4,Ажилд авах тушаал хэрхэн гаргах вэ?,Та Хүний нөөц=>Хөдөлмөрийн харилцаа=>Тушаал=>Ажилд авах тушаал цэс рүү орж ажилд авах тушаал гаргах боломжтой. Ажилд авах тушаал гаргахын тулд эхлээд тушаалын загвар үүсгэсэн байх шаардлагатайг анхаарна уу.
5,Зэргийн бүртгэл дээрх зэрэглэл багана юуг илэрхийлдэг вэ?,Зэрэглэл дээрх утга нь аль нь өндөр албан тушаал дээр ажиллаж байгааг илэрхийлэх бөгөөд зэрэглэл нь их байх тусам илүү өндөр албан тушаал дээр ажиллаж байгааг илэрхийлнэ.
6,Grade-н бүртгэл дээрх зэрэглэл багана юуг илэрхийлдэг вэ?,Зэрэглэл дээрх утга нь аль нь өндөр албан тушаал дээр ажиллаж байгааг илэрхийлэх бөгөөд зэрэглэл нь их байх тусам илүү өндөр албан тушаал дээр ажиллаж байгааг илэрхийлнэ.
7,Модулийн тохиргоо дэлгэц ямар учиртай вэ?,Модулийн тохиргоо дэлгэц нь тухайн компани өөрийн үйл ажиллагаанаас хамаарч системийн боломжуудыг өөр өөрөөр ажиллах боломжийг тохируулдаг тохиргооны дэлгэц юм.
8,Орон тооны төлөвлөгөөг яаж гаргах вэ?,Та Төлөвлөгөө=>Орон тоо цэснээс Орон тооны төлөвлөгөөний жагсаалтын дэлгэцийг олж болох бөгөөд тухайн жагсаалтаас шинэ дарснаар орон тооны төлөвлөгөөг үүсгэх боломжтой. Орон тооны төлөвлөгөөг үүсгэхдээ төлөвлөгөөт оныг сонгоод хайх дарснаар идэвхтэй байгууллагын нэгж болон тухайн байгууллагын нэгж дэх ажлын байр бүрийн мэдээлэл гарч ирнэ. Ингэснээр та ажлын байр бүрийн хувьд сар бүрээр орон тоог төлөвлөх боломжтой.
9,Орон тооны төлөвлөгөөг яаж тодотгох вэ?,Та орон тооны дэлгэцээс төлөвлөсөн төлөвт байгаа төлөвлөгөөг тодотгох боломжтой бөгөөд бүртгэлийн дэлгэц рүү ороод тодотгох товчийг дарснаар тухайн орон тооны төлөвлөгөөг тодотгох боломжтой.
10,Гэрээт ажилтны бүртгэл яаж хийх вэ?,Та Хүний нөөц=>Гэрээт ажилтан цэс рүү орж гэрээт ажилтан болон хувийн мэдээллийн бүртгэлүүдийг хийх боломжтой.
11,Ажилтны гэр бүлийн бүртгэлийн яаж хийх вэ?,Ажилтны гэр бүлийн бүртгэлийг ажилтны гэр бүлийн жагсаалтаас шинэ дарснаар оруулах боломжтой бөгөөд тухайн ажилтан өөрөө веб порталаас хандан оруулах боломжтой . Ногоон талбаруудыг заавал оруулах шаардлагатай.
12,Ажилтантай хэрхэн гэрээ байгуулах вэ?,"Та системээр ажилтантай Хөдөлмөрийн гэрээ, Нууц хадгалах гэрээ зэрэг 7 төрлийн гэрээ байгуулах боломжтой бөгөөд та эхлээд загвараа үүсгээд дараа нь гэрээ дэлгэц рүү орж гэрээ байгуулах ажилтан болон гэрээний загвараа сонгож гэрээ байгуулна. Хэвлэх хэсэгт загварын дагуу гэрээг хэвлэх боломжтой болох бөгөөд ажилтанд танилцуулсны дараа танилцуулах эсэх чекийг хийж хадгалснаар гэрээний түүх хөтлөгддөг."
13,Тушаал хэрхэн гаргах вэ?,Системээр 26 төрлийн хүний нөөцтэй холбоотой тушаалууд гарах боломжтой. Та ямар тушаал гаргах гэж байна вэ?
14,Албан тушаал дэвшүүлэх тушаал,"Албан тушаал, зэрэг, дэв өөрчлөх тушаал гаргахын тулд та Хүний нөөц=>Хөдөлмөрийн харилцаа цэснээс Албан тушаал, зэрэг, дэв өөрчлөх тушаалыг сонгоно. Үүний дараа харгалзах ажилтныг сонгон шинэ байгууллагын нэгж, ажлын байр болон зэрэг, дэвийг дэвшүүлэх огноог сонгож тушаалыг хадгална. Тушаалыг гаргахын өмнө тушаалын загвар үүсгэх хэрэгтэй бөгөөд үүсгэсэн загварын дагуу тушаалын хэвлэх хэсэг бэлэн болно. Тушаалын төлвийг сольж, тушаалыг батлахад тухайн ажилтны албан тушаал, зэрэг, дэв өөрчлөгдөж харгалзах ажил эрхлэлтийн түүх бичигдэнэ."
15,Тушаалыг хэн хэн батлах вэ?,Тушаалыг хэн хэн батлахыг дурын байдлаар тохируулах боломжтой бөгөөд үүний тулд та Ажлын урсгалт тохируулах шаардлагатай.
16,Тодорхойлолт хэрхэн гаргах вэ?,Тодорхойлолт гаргахын тулд эхлээд тодорхойлолтын загвар үүсгэх шаардлагатай. Тодорхойлолтын загвар үүсгэхдээ хэрэгцээт түлхүүр үгнүүдээс сонгож загварыг бэлдэх ба үүний дараа Тодорхойлолтын дэлгэц рүү орж тодорхойлолт гаргах ажилтан болон загварыг сонгосноор тодорхойлолт үүсгэнэ. Загварын дагуу тодорхойлолт хэвлэхэд бэлэн болох болно.
17,Тойрох хуудсыг системээр яаж хийх вэ?,Тойрох хуудсыг системээр хийхийн тулд та эхлээд тойрох хуудасны загварыг тохируулах хэрэгтэй. Үүний тулд Хүний нөөц=>Хөдөлмөрийн харилцаа=>Тойрох хуудас цэсээр орж Бүртгэл хэсэгт загварыг тохируулна. Үүний дараа Тойрох хуудас хэсгээс ажилтны тойрох хуудсыг үүсгэх боломжтой бөгөөд үүсгэсний дараа загварт тохируулсан ажилтнууд веб програмаар өөрийн харгалзах хэсгийн ажлыг хүлээн авах боломжтой болно. Тойрох хуудсанд эцсийн байдлаар хянах ажилтан тухайн тойрох хуудсыг хаах боломжтой байна.
18,Ажлын байрны захиалга яаж гаргах вэ?,"Ажлын байрны захиалгыг веб болон десктоп програмаас аль алинаас нь гаргах боломжтой бөгөөд дэлгэцийн эрх бүх ажилтнууд Ажлын байрны захиалгын дэлгэц рүү орж Байгууллагын нэгж, Захиалгын зэрэглэл, Ажлын байр болон бусад шаардлагатай багануудыг бөглөж үүсгэх боломжтой."
19,Ажлын байрны захиалгыг хэн хэн батлах вэ?,Ажлын байрны захиалгыг батлах ажилтнуудыг дурын байдлаар зохион байгуулах боломжтой бөгөөд үүний тулд Ажлын урсгал тохируулах шаардлагатай.
20,Ажлын байрны зар хэрхэн үүсгэх вэ?,Ажлын байрны зар үүсгэхийн тулд Захиалга хийгдсэн төлөвтэй Ажлын байрны захиалга хийгдсэн байх ёстой бөгөөд Сонгон шалгаруулалт=>Ажлын байрны зар цэсээр орж ажлын байрны захиалгыг сонгон үүсгэх боломжтой. Та зарын хүртээмж баганад ямар утга сонгосноос хамаарч зарын харагдах байдал өөр өөр байх бөгөөд дотоод гэж сонгосон үед зөвхөн дотоод ажилтнуудад веб порталаар гадаад гэж сонгосон үед Онлайн анкет хүлээж авах веб сайтад харагдана.
21,Алдаа гараад байна.,Та ямар дэлгэцээр орсон бэ?
22,Ажилд авах тушаал гаргахад алдаа гарлаа,Та алдааны мэдээллийг манай support-н багийн имэйл рүү илгээнэ үү.
23,Дасан зохицох хэсгийг яаж ашиглах вэ?,Та эхлээд хөтөлбөрийн жагсаалт дэлгэц рүү орж загварыг тохируулаад дараа нь Ажилтны хөтөлбөрийн дэлгэцээс ажилтанд хөтөлбөр үүсгэх боломжтой. Тухайн хөтөлбөр үүссэн ажилтан нь веб порталаар орж хөтөлбөрийн явцыг оруулах боломжтой.
24,Танай шинэчлэл хэзээ гарах вэ?,Та манай support-н багаас имэйлээр лавлана уу.
25,Хөтөлбөрийн Ажлын байр хэсэгт юу оруулах вэ?,Энэ нь тухайн хөтөлбөрийн загварыг аль аль ажлын байрны хувьд ашиглах вэ гэдгийг тохируулах хэсэг юм.
26,Хөнгөлөлт хангамжийн багц яаж бүртгэх вэ?,Та Хүний нөөц=>Хөнгөлөлт хангамж=>Хөнгөлөлт хангамжийн баг цэснээр орж бүртгэх боломжтой бөгөөд Багцыг хамрах хүрээнээс хамаарч өөр өөр байдлаар хамрагдах ажилтнуудаа үүсгэх боломжтой.
27,Нэг удаагийн хөнгөлөлт хангамжийг яаж үүсгэх вэ?,"Та Хүний нөөц=>Хөнгөлөлт хангамж=>Ажилтны хөнгөлөлт, хангамжийн жагсаалт цэсээр орж шинэ дарснаар үүсгэх боломжтой бөгөөд тухайн дэлгэцээс ажилтны цалинд бодогдох эсэхийг мөн шийдэх боломжтой."
28,Өсөх ирээдүйтэй ажилтныг хаана яаж бүртгэх вэ?,Хүний нөөц=>Карьерийн хөгжил=>Бүртгэл цэсээр орж Өсөх ирээдүйтэй ажилтан дэлгэц рүү орж бүртгэх боломжтой. Мөн та дээрх цэснээс шалгуур үзүүлэлтүүдийг бүртгэх боломжтой бөгөөд шалгуур үзүүлэлтийн дагуу оноонуудыг оруулах боломжтой.
29,Хувийн хөгжлийн төлөвлөгөөг яаж үүсгэх вэ?,"ХХТ-г тухайн ажилтан веб дэлгэцээсээ үүсгэх боломжтой бөгөөд өөрийн хөгжүүлэх ур чадвар, хөгжүүлэх арга замыг сонгох болон явцыг хувиар оруулах боломжтой. Үүнээс гадна тухайн ажилтны ур чадварын үнэлгээнээс зөрүүтэй ур чадваруудын хувьд ХХТ-г үүсгэх боломжтой."
30,ХХТ-н гүйцэтгэлийг яаж хянах вэ?,ХХ Төлөвлөгөөний гүйцэтгэл лавлагаа дэлгэцээс байгууллагын нэгж болон хугацааны хувьд шүүж ажилтнуудын ХХТ-ний гүйцэтгэлүүдийг хянах боломжтой.
31,Явагдах сургалт яаж бүртгэх вэ?,"Та Хүний нөөц=>Сургалт, хөгжил=>Явагдах сургалт цэсээр орж Явагдах сургалтыг бүртгэл үүсгэх боломжтой. Тухайн бүртгэлийг хийхийн тулд Сургалт, Зохион байгуулах хэлбэр, Сургалтын төв зэрэг бүртгэлүүдийг хийсэн байх шаардлагатай бөгөөд хэрэв төлөвлөгөөтэй бол төлөвлөгөөний дагуу эхлэх дуусах огноо зэрэг нь бөглөгддөг. Үүний дараа сургалтад хамрагдах ажилтнуудыг бүртгэх бөгөөд үүнтэй адилаар багш, ашиглах материал, зардал зэргийг бүртгэх боломжтой."
